scenario,host_id,count,mean_cpu_utilization,std,min,percentile25,percentile50,percentile75,max,number_extend
Remote Anchoring with mTLS,Host1,2122.0,6.872130065975495,0.3157580493573975,4.18,6.79,6.89,6.99,7.88,10000
Remote Anchoring with mTLS,Host2,2122.0,6.983185673892554,0.1951105114196172,4.51,6.87,6.98,7.09,7.9,10000
Baseline,Host1,20031.0,3.35568868254206,0.48508144441901513,0.04,3.28,3.39,3.52,6.16,100000
Baseline,Host2,20031.0,3.5584888422944436,0.5175935309370787,0.08,3.35,3.47,3.6,8.42,100000
Local Anchoring,Host1,21216.0,6.539826546003016,0.5951315946702538,4.13,6.37,6.46,6.58,12.58,100000
Local Anchoring,Host2,21216.0,6.550394042232278,0.4614241399176497,4.55,6.38,6.48,6.59,12.01,100000
Remote Anchoring,Host1,21124.0,6.605741336868017,0.3816574141758749,4.17,6.5,6.6,6.71,13.04,100000
Remote Anchoring,Host2,21124.0,6.726747775042606,0.3830838107850108,4.56,6.59,6.69,6.8,13.82,100000
Remote Anchoring with mTLS,Host1,21222.0,6.880122514371879,0.507793114102817,4.16,6.74,6.86,6.98,13.21,100000
Remote Anchoring with mTLS,Host2,21222.0,7.140412779191405,0.6779821034007156,4.47,6.93,7.04,7.16,14.32,100000
Baseline,Host1,202.0,3.1865841584158416,0.585750966174757,0.0,3.15,3.27,3.35,5.21,1000
Baseline,Host2,202.0,3.343613861386139,0.3248640119720372,1.09,3.2475,3.36,3.4775,6.28,1000
Local Anchoring,Host1,108.0,6.359722222222221,0.39156875557515963,4.18,6.29,6.4,6.4925,7.2,1000
Local Anchoring,Host2,108.0,6.418055555555556,0.30664131176506015,4.34,6.37,6.445,6.51,7.08,1000
Remote Anchoring,Host1,107.0,6.661588785046729,0.395989683334049,4.25,6.575,6.7,6.79,8.19,1000
Remote Anchoring,Host2,107.0,6.647383177570093,0.3006356048177717,4.55,6.54,6.66,6.775,7.65,1000
Remote Anchoring with mTLS,Host1,108.0,6.734444444444443,0.4538049589966696,4.18,6.6975,6.8,6.9025,7.38,1000
Remote Anchoring with mTLS,Host2,108.0,7.05824074074074,0.37526521139778923,4.6,7.0075,7.09,7.2225,7.52,1000
Baseline,Host1,2008.0,3.2659163346613544,0.6054221510966354,0.0,3.23,3.35,3.48,5.09,10000
Baseline,Host2,2008.0,3.488550796812749,0.48936333511127705,1.17,3.31,3.4,3.52,7.98,10000
Local Anchoring,Host1,1061.0,6.501432610744581,0.3147026485605225,4.16,6.41,6.52,6.62,8.18,10000
Local Anchoring,Host2,1061.0,6.466635249764374,0.16501883209185858,4.56,6.37,6.45,6.56,7.39,10000
Remote Anchoring,Host1,1058.0,6.670916824196597,0.4205953912508616,4.26,6.57,6.66,6.77,10.82,10000
Remote Anchoring,Host2,1058.0,6.750396975425331,0.17948215552964605,4.76,6.64,6.74,6.84,7.78,10000
Remote Anchoring with mTLS,Host1,1063.0,6.7966698024459085,0.3609844917670129,4.18,6.73,6.82,6.92,7.89,10000
Remote Anchoring with mTLS,Host2,1063.0,7.037535277516462,0.2257808013767613,4.48,6.92,7.03,7.14,8.83,10000
Baseline,Host1,20098.0,3.2892700766245397,0.4888070659419577,0.0,3.23,3.35,3.45,8.09,100000
